standard_code,raw_title,canonical_title_expanded,standard_kind,old_canonical_product,new_canonical_product,product_subtype,primary_subject,material,application,function,applies_to_product_families,confidence,evidence,resolution_status,review_required,notes
IS 3097: 1980,VENEERED PARTICLE BOARDS,,material_standard,,board,,VENEERED PARTICLE BOARDS,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3115: 1992,LIME BASED BLOCKS,,product_standard,,block,,LIME BASED BLOCKS,concrete,,,coating; masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3117: 2004,BITUMEN EMULSION FOR ROADS,BITUMEN EMULSION FOR ROADS AND ALLIED APPLICATIONS (ANIONIC TYPE),product_standard,,cement,,BITUMEN EMULSION FOR ROADS AND ALLIED APPLICATIONS (ANIONIC TYPE),bitumen,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3129: 1985,LOW DENSITY PARTICLE BOARDS,,other,,board,,LOW DENSITY PARTICLE BOARDS,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3182: 1986,BROKEN BRICK (BURNT CLAY),BROKEN BRICK (BURNT CLAY) FINE AGGREGATE FOR USE IN LIME MORTAR,product_standard,,brick,,BROKEN BRICK (BURNT CLAY) FINE AGGREGATE FOR USE IN LIME MORTAR,clay,,,concrete_material; masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3308: 1981,WOOD WOOL BUILDING SLABS,,product_standard,,thermal_insulation,,WOOD WOOL BUILDING SLABS,timber,roofing,,,high,"{""application"": [""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3316: 1974,STRUCTURAL GRANITE,,product_standard,,stone,,STRUCTURAL GRANITE,,,,stone,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3337: 1978,BALLIES FOR GENERAL PURPOSES,,product_standard,,timber,,BALLIES FOR GENERAL PURPOSES,timber,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3384: 1986,BITUMEN PRIMER FOR USE IN,BITUMEN PRIMER FOR USE IN WATER–PROOFING AND DAMP–PROOFING,product_standard,,waterproofing_membrane,,BITUMEN PRIMER FOR USE IN WATER–PROOFING AND DAMP–PROOFING,bitumen,waterproofing,waterproofing,waterproofing,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3438: 1994,SILVERED GLASS MIRRORS FOR GENERAL,SILVERED GLASS MIRRORS FOR GENERAL PURPOSES,product_standard,,glass,,SILVERED GLASS MIRRORS FOR GENERAL PURPOSES,,,,glass,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3443: 1980,CRANE RAIL SECTION,,product_standard,,crane_rail_section,,CRANE RAIL SECTION,steel,,,,high,"{""canonical_product"": [""title""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 3462: 1986,UNBACKED FLEXIBLE PVC FLOORING,,product_standard,,tile,,UNBACKED FLEXIBLE PVC FLOORING,PVC,flooring,flooring,,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3478: 1966,HIGH DENSITY WOOD PARTICLE BOARDS,"HIGH DENSITY WOOD PARTICLE BOARDS Note —For test procedures, refer to various parts of IS 2380 : 1997 Methods of test for wood particle boards and boards from other lignocellulosic materials ( first revision ) and 9.3 of the standard.",test_method,,,,"HIGH DENSITY WOOD PARTICLE BOARDS Note —For test procedures, refer to various parts of IS 2380 : 1997 Methods of test for wood particle boards and boards from other lignocellulosic materials ( first revision ) and 9.3 of the standard",timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 3480: 1966,FLEXIBLE STEEL CONDUITS FOR,FLEXIBLE STEEL CONDUITS FOR ELECTRICAL WIRING TABLE 1 REQUIREMENTS FOR FLEXIBLE STEEL CONDUCTS NOMINAL INTERNAL,installation,,,,FLEXIBLE STEEL CONDUITS FOR ELECTRICAL WIRING TABLE 1 REQUIREMENTS FOR FLEXIBLE STEEL CONDUCTS NOMINAL INTERNAL,steel,,,pipe_water_drainage,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 3489: 1985,ENAMELLED STEEL BATH TUBS,,material_standard,,steel_sheet,,ENAMELLED STEEL BATH TUBS,steel,flooring,,,high,"{""application"": [""full_text_repeated_terms""], ""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3502: 1994,STEEL CHEQUERED PLATES,,material_standard,,pipe,,STEEL CHEQUERED PLATES,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3564: 1995,HYDRAULICALLY REGULATED DOOR CLOSER,,product_standard,,door,,HYDRAULICALLY REGULATED DOOR CLOSER,cast iron,door and window construction,,door_window; hardware,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3583: 1988,BURNT CLAY PAVING BRICKS,,product_standard,,brick,,BURNT CLAY PAVING BRICKS,clay,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3620: 1979,LATERITE  STONE  BLOCK  FOR  MASONRY,,product_standard,,block,,LATERITE STONE BLOCK FOR MASONRY,,,,masonry_unit; stone,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3629: 1986,STRUCTURAL TIMBER IN BUILDINGS,,material_standard,,timber,,STRUCTURAL TIMBER IN BUILDINGS,timber,,,timber,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 362: 1991,PARLIAMENT HINGES,,material_standard,,hinge,,PARLIAMENT HINGES,steel,,,hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 363: 1993,HASPS AND STAPLES,,material_standard,,hasps_staples,,HASPS AND STAPLES,steel,,,,high,"{""canonical_product"": [""title""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 364: 1993,FAN LIGHT CATCH,,material_standard,,window,,FAN LIGHT CATCH,steel,,,door_window,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""scope"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3731: 1985,TEAK  SQUARES,,product_standard,,timber,,TEAK SQUARES,timber,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3818: 1992,CONTINUOUS (PIANO) HINGES,,product_standard,,hinge,,CONTINUOUS (PIANO) HINGES,steel,,,hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3828: 1966,VENTILATOR CHAINS,,product_standard,,window,,VENTILATOR CHAINS,steel,door and window construction,,door_window,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 383: 1970,COARSE AND FINE AGGREGATES FROM NATURAL,COARSE AND FINE AGGREGATES FROM NATURAL SOURCES FOR CONCRETE,product_standard,,aggregate,,COARSE AND FINE AGGREGATES FROM NATURAL SOURCES FOR CONCRETE,concrete,,,concrete_material,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3843: 1995,STEEL BACK FLAP HINGES,,material_standard,,hinge,,STEEL BACK FLAP HINGES,steel,,,hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3847: 1992,MORTICE NIGHT LATCHES,,product_standard,,latch,,MORTICE NIGHT LATCHES,steel,door and window construction,,hardware,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3854: 1997,SWITCHES FOR DOMESTIC AND SIMILAR,SWITCHES FOR DOMESTIC AND SIMILAR PURPOSES,installation,,,,SWITCHES FOR DOMESTIC AND SIMILAR PURPOSES,,,,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 3908: 1986,ALUMINIUM EQUAL LEG ANGLES,,material_standard,,rod,,ALUMINIUM EQUAL LEG ANGLES,aluminium,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3909: 1986,ALUMINIUM UNEQUAL LEG ANGLES,,material_standard,,rod,,ALUMINIUM UNEQUAL LEG ANGLES,aluminium,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 3921: 1985,ALUMINIUM CHANNELS,,material_standard,,channel,,ALUMINIUM CHANNELS,aluminium,,,precast_concrete,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3952: 1988,BURNT CLAY HOLLOW  BRICKS FOR WALLS,BURNT CLAY HOLLOW BRICKS FOR WALLS AND PARTITIONS,product_standard,,brick,,BURNT CLAY HOLLOW BRICKS FOR WALLS AND PARTITIONS,clay,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3954: 1991,HOT ROLLED CHANNEL SECTIONS FOR GENERAL,HOT ROLLED CHANNEL SECTIONS FOR GENERAL ENGINEERING PURPOSES – DIMENSIONS,material_standard,,channel,,HOT ROLLED CHANNEL SECTIONS FOR GENERAL ENGINEERING PURPOSES – DIMENSIONS,steel,,,precast_concrete,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 3964: 1980,LIGHT RAILS,,product_standard,,light_rails,,LIGHT RAILS,steel,,,,high,"{""canonical_product"": [""title""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 399: 1963,CLASSIFICATION OF COMMERCIAL TIMBERS AND,CLASSIFICATION OF COMMERCIAL TIMBERS AND THEIR ZONAL DISTRIBUTION,material_standard,,timber,,CLASSIFICATION OF COMMERCIAL TIMBERS AND THEIR ZONAL DISTRIBUTION,timber,,,timber,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 4021: 1995,"TIMBER DOOR, WINDOW AND VENTILATOR","TIMBER DOOR, WINDOW AND VENTILATOR FRAMES",material_standard,,window,,"TIMBER DOOR, WINDOW AND VENTILATOR FRAMES",timber,door and window construction,,door_window; timber,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 4098: 1983,LIME POZZOLANA MIXTURE,,product_standard,,cement,,LIME POZZOLANA MIXTURE,HDPE,,,cement,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 412: 1975,EXPANDED METAL STEEL SHEETS FOR,EXPANDED METAL STEEL SHEETS FOR GENERAL PURPOSES,material_standard,,steel_sheet,,EXPANDED METAL STEEL SHEETS FOR GENERAL PURPOSES,steel,,,steel,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 4139: 1989,CALCIUM SILICATE BRICKS,,product_standard,,brick,,CALCIUM SILICATE BRICKS,clay,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 4160: 1967,INTERLOCKING SWITCH SOCKET OUTLET,,product_standard,,plug_socket,,INTERLOCKING SWITCH SOCKET OUTLET,steel,thermal insulation,,electrical; pipe_water_drainage,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 419: 1967,"PUTTY, FOR USE ON WINDOW FRAMES",,installation,,,,"PUTTY, FOR USE ON WINDOW FRAMES",timber,door and window construction,,door_window; glass,high,"{""application"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 423: 1961,PLASTIC WOOD FOR JOINERS FILLER,,test_method,,,,PLASTIC WOOD FOR JOINERS FILLER,timber,,,coating; timber,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 432 (Part 1): 1982,MILD STEEL AND MEDIUM  TENSILE,MILD STEEL AND MEDIUM TENSILE STEEL BARS AND HARD-DRAWN STEEL WIRE FOR CONCRETE REINFORCEMENT PART 1 MILD STEEL AND MEDIUM TENSILE STEEL BARS,material_standard,,pipe_fitting,,MILD STEEL AND MEDIUM TENSILE STEEL BARS AND HARD-DRAWN STEEL WIRE FOR CONCRETE REINFORCEMENT PART 1 MILD STEEL AND MEDIUM TENSILE STEEL BARS,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 432 (Part II): 1982,MILD STEEL AND MEDIUM TENSILE STEEL,MILD STEEL AND MEDIUM TENSILE STEEL BARS AND HARD-DRAWN STEEL WIRE FOR CONCRETE REINFORCEMENT PART 2 HARD-DRAWN STEEL WIRE,material_standard,,pipe_fitting,,MILD STEEL AND MEDIUM TENSILE STEEL BARS AND HARD-DRAWN STEEL WIRE FOR CONCRETE REINFORCEMENT PART 2 HARD-DRAWN STEEL WIRE,steel,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 4351: 2003,STEEL DOOR FRAMES,,material_standard,,door,steel_door,steel door,steel,flooring,,door_window,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""], ""product_subtype"": [""title"", ""scope"", ""full_text_summary_heading""]}",RESOLVED_PRODUCT,False,
IS 4457: 1982,CERAMIC UNGLAZED VITREOUS ACID,CERAMIC UNGLAZED VITREOUS ACID RESISTING TILES,product_standard,,tile,,CERAMIC UNGLAZED VITREOUS ACID RESISTING TILES,,,,tile,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 452: 1973,DOOR SPRING RAT- TAIL TYPE,,material_standard,,door,,DOOR SPRING RAT- TAIL TYPE,steel,door and window construction,,door_window,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 453: 1993,DOUBLE-ACTING SPRING HINGES,,material_standard,,hinge,,DOUBLE-ACTING SPRING HINGES,steel,door and window construction,,door_window; hardware,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 454: 1994,CUTBACK  BITUMEN FROM WAXY CRUDE,,product_standard,,bitumen_from_waxy_crude,,CUTBACK BITUMEN FROM WAXY CRUDE,bitumen,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 4615: 1968,SWITCH SOCKET-OUTLETS,,product_standard,,plug_socket,,SWITCH SOCKET-OUTLETS,steel,thermal insulation,,electrical; pipe_water_drainage,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 4762: 1984,WORM DRIVE CLAMPS FOR GENERAL PURPOSE,,product_standard,,pipe_fitting,,WORM DRIVE CLAMPS FOR GENERAL PURPOSE,,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 4832 (Part 1): 1969,CHEMICAL RESISTANT MORTARS,"CHEMICAL RESISTANT MORTARS PART I – SILICATE TYPE Note 1— For method of tests, refer to IS 4456 (Part 1) : 1967 Methods of test for chemical resistant mortar: Part I Silicate type and resin type Note 2— For general guide for chemical resistance of sillicate type mortars to various substances, refer to Table 1 of IS",test_method,,,portland_pozzolana_fly_ash,"CHEMICAL RESISTANT MORTARS PART I – SILICATE TYPE Note 1— For method of tests, refer to IS 4456 (Part 1) : 1967 Methods of test for chemical resistant mortar: Part I Silicate type and resin type Note 2— For general guide for chemical resist",,,,,high,"{""primary_subject"": [""title""], ""product_subtype"": [""title"", ""full_text_summary_heading""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 4860: 1968,ACID – RESISTANT BRICKS,,product_standard,,brick,,ACID – RESISTANT BRICKS,clay,flooring,flooring,masonry_unit,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""scope""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 4885: 1988,SEWER BRICKS,,other,,brick,,SEWER BRICKS,clay,sewerage,carry_sewage,masonry_unit,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""scope""], ""material"": [""scope"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 4891: 1988,PREFERRED CUT SIZES OF  STRUCTURAL TIMBER,,material_standard,,timber,,PREFERRED CUT SIZES OF STRUCTURAL TIMBER,timber,roofing,,door_window; timber,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 4895: 1985,TEAK LOGS,,product_standard,,timber,,TEAK LOGS,timber,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 4923: 1997,HOLLOW STEEL SECTIONS  FOR STRUCTURAL,HOLLOW STEEL SECTIONS FOR STRUCTURAL USE,material_standard,,steel_section,,HOLLOW STEEL SECTIONS FOR STRUCTURAL USE,steel,,,steel,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 4948: 2002,WELDED STEEL WIRE FABRIC,WELDED STEEL WIRE FABRIC FOR GENERAL USE,material_standard,,wire_fabric,,WELDED STEEL WIRE FABRIC FOR GENERAL USE,steel,door and window construction,,door_window; reinforcement,high,"{""application"": [""scope"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
